品类1,品类2,关联度
241,24,17
241,26,51
241,40,47
241,48,62
241,51,26
241,58,11
241,60,123
241,65,86
241,84,331
241,86,11
241,87,128
241,89,72
241,102,104
241,122,1138
241,123,163
241,130,57
241,133,28
241,153,178
241,164,113
241,165,214
241,169,114
241,176,14
241,183,88
241,188,28
241,195,124
241,196,79
241,200,228
241,226,154
241,243,55
241,253,75
241,254,374
241,266,19
241,269,25
241,270,86
241,273,24
241,279,451
241,281,116
241,282,31
241,283,709
241,285,16
241,287,11
241,308,203
241,325,22
241,331,60
242,2,398
242,5,20
242,20,620
242,21,4803
242,40,284
242,56,12
242,58,79
242,59,28
242,60,106
242,65,584
242,71,96
242,79,1068
242,84,5110
242,86,14
242,87,94
242,89,27
242,97,28
242,102,278
242,118,238
242,130,205
242,151,25
242,153,105
242,183,310
242,184,11
242,188,33
242,190,54
242,195,39
242,196,13
242,200,989
242,226,142
242,229,162
242,239,11
242,243,748
242,254,6654
242,266,69
242,273,31
242,279,194
242,280,116
242,285,104
242,308,1136
242,325,110
243,2,6923
243,5,358
243,20,11000
243,24,28
243,30,26
243,40,4926
243,49,15
243,56,120
243,58,758
243,60,269
243,63,18
243,65,5667
243,71,15
243,86,15
243,87,329
243,89,138
243,94,53
243,97,1155
243,130,15966
243,141,199
243,151,231
243,153,405
243,158,28
243,160,24
243,183,3085
243,184,22
243,188,66
243,190,48
243,195,106
243,196,85
243,200,146
243,204,855
243,215,12
243,226,420
243,227,20
243,233,32
243,236,64
243,239,649
243,248,26
243,252,53
243,253,65
243,258,24
243,261,24
243,263,102
243,266,152
243,273,304
243,275,25
243,279,387
243,280,73
243,281,28
243,284,11
243,285,503
243,300,662
243,311,40
243,325,44
245,2,960
245,14,28
245,20,519
245,21,1099
245,30,12
245,40,847
245,49,91
245,56,146
245,58,281
245,60,63
245,65,515
245,79,59
245,84,2119
245,87,71
245,89,46
245,97,38
245,102,484
245,121,1728
245,130,487
245,151,18
245,153,120
245,154,622
245,155,17
245,158,28
245,164,13528
245,177,16
245,183,280
245,188,15
245,190,11
245,191,14
245,194,33
245,195,23
245,196,21
245,200,34
245,201,25
245,203,4105
245,204,16
245,222,53
245,226,209
245,227,174
245,233,75
245,236,13
245,239,12
245,242,68
245,243,1113
245,246,86
245,252,123
245,254,1731
245,266,22
245,269,376
245,273,391
245,275,12
245,279,123
245,285,96
245,290,29
245,308,3183
245,325,39
246,49,11
246,56,16
246,158,14
246,222,814
246,227,11
246,252,122
246,273,812
248,8,12
248,44,549
248,58,12
248,60,587
248,63,299
248,70,86
248,86,160
248,106,38
248,109,6139
248,151,19
248,153,18
248,157,39
248,173,1559
248,188,32
248,191,390
248,194,13
248,195,1281
248,226,11634
248,238,13
248,263,336
248,266,163
248,268,22
248,279,1375
248,280,15
248,331,35
250,2,1140
250,5,307
250,20,228
250,21,1777
250,30,11
250,40,354
250,49,27
250,56,257
250,58,131
250,60,14
250,65,441
250,84,1589
250,87,13
250,102,57
250,121,138
250,130,264
250,141,356
250,153,46
250,154,67
250,164,3031
250,165,17
250,166,1528
250,183,102
250,195,21
250,200,89
250,201,18
250,203,710
250,204,89
250,226,59
250,242,11
250,243,1007
250,245,4508
250,252,38
250,254,1187
250,266,110
250,269,386
250,273,241
250,279,29
250,280,188
250,285,43
250,308,3868
252,14,55
252,56,132
252,153,12
252,155,41
252,201,36
252,226,27
252,227,14
252,233,129
252,236,97
252,258,11
252,273,708
252,279,39
252,284,59
252,301,15
253,165,361
253,279,817
254,2,4475
254,5,142
254,8,11
254,14,11
254,20,6044
254,24,152
254,30,502
254,34,609
254,39,36
254,40,4504
254,49,177
254,51,13
254,56,208
254,58,1554
254,59,288
254,60,1704
254,63,128
254,65,6494
254,71,494
254,74,12
254,76,12
254,78,12
254,79,3524
254,86,270
254,87,891
254,88,13
254,89,423
254,94,90
254,97,762
254,102,4418
254,108,19
254,118,40
254,130,5599
254,141,130
254,151,639
254,153,1020
254,155,30
254,158,35
254,160,249
254,165,62
254,169,68
254,176,15
254,177,11
254,183,3159
254,184,319
254,185,243
254,188,351
254,190,657
254,191,104
254,194,144
254,195,568
254,196,479
254,200,1809
254,201,17
254,202,101
254,215,42
254,218,13
254,226,1796
254,227,62
254,229,137
254,233,192
254,236,175
254,239,237
254,243,11382
254,248,189
254,252,1335
254,253,68
254,255,113
254,258,94
254,261,24
254,263,571
254,266,657
254,268,52
254,273,711
254,275,261
254,279,1946
254,280,1266
254,281,159
254,284,47
254,285,1605
254,300,107
254,301,12
254,307,11
254,308,18880
254,311,40
254,325,1235
254,330,511
254,331,30
256,28,865
256,69,13
257,88,15
257,89,73
257,176,23
258,58,36
258,153,11
258,285,33
261,108,139
263,44,12
263,153,50
263,194,14522
263,266,1030
263,271,124
263,279,318
263,280,336
263,303,263
264,24,95
264,63,11
264,188,17
264,196,40
266,24,24
266,63,46
266,111,311
266,153,56
266,188,167
266,271,36
266,279,438
266,280,841
266,331,53
268,108,444
268,261,189
269,49,22
269,121,102
269,154,11
269,243,148
269,246,26
269,273,311
269,290,19
269,308,14
270,253,20
270,279,111
270,331,15
271,156,42
271,188,19
271,331,43
273,8,16
273,14,873
273,56,1871
273,58,28
273,60,59
273,70,66
273,137,36
273,153,58
273,173,21
273,186,76
273,188,11
273,195,137
273,196,16
273,226,176
273,233,1838
273,253,26
273,263,37
273,266,24
273,279,85
273,285,29
275,30,376
275,58,12
275,60,62
275,111,1335
275,153,12
275,165,11
275,184,773
275,188,21
275,190,1270
275,200,1344
275,226,56
275,263,12
275,266,71
275,280,756
275,285,12
276,2,1090
276,15,956
276,17,1349
276,20,1645
276,21,2285
276,24,35
276,26,318
276,28,11
276,30,76
276,35,366
276,40,1331
276,43,11
276,48,4628
276,49,11
276,56,16
276,58,196
276,60,595
276,62,1212
276,63,14
276,65,1607
276,71,16
276,72,437
276,79,52
276,84,2900
276,86,117
276,87,705
276,88,32
276,89,753
276,93,70
276,97,300
276,102,1186
276,110,21
276,118,25
276,121,75
276,122,299
276,130,895
276,143,46
276,151,118
276,153,494
276,154,631
276,160,24
276,164,1705
276,166,80
276,169,28
276,171,13
276,176,28
276,183,834
276,184,56
276,185,30
276,188,114
276,190,87
276,191,14
276,194,27
276,195,326
276,196,113
276,200,424
276,203,130
276,215,190
276,223,276
276,225,2167
276,226,508
276,227,17
276,233,12
276,236,33
276,237,244
276,239,77
276,241,295
276,242,370
276,243,1021
276,245,197
276,248,48
276,250,45
276,252,12
276,253,90
276,254,2500
276,257,40
276,258,14
276,263,311
276,266,160
276,273,155
276,275,51
276,279,1246
276,280,76
276,281,171
276,282,286
276,283,991
276,285,143
276,287,336
276,300,67
276,308,2302
276,325,182
278,49,13
278,56,37
278,158,76
278,233,63
278,236,27
278,273,170
280,44,41
280,111,29
280,153,18
280,188,27
280,279,102
281,60,35
281,86,19
281,88,109
281,153,45
281,195,46
281,226,75
281,252,21
281,253,39
281,273,12
281,279,145
282,2,29
282,20,19
282,21,56
282,35,15
282,40,26
282,49,123
282,65,44
282,84,130
282,122,464
282,153,11
282,164,41
282,183,26
282,195,12
282,226,14
282,243,29
282,254,140
282,273,52
282,308,80
283,2,325
283,20,415
283,21,645
283,26,1055
283,30,37
283,35,160
283,40,836
283,48,538
283,49,32
283,51,28
283,58,31
283,60,269
283,65,520
283,78,515
283,79,16
283,84,1301
283,86,14
283,87,1110
283,88,277
283,89,3385
283,93,14
283,97,47
283,102,522
283,118,17
283,121,89
283,122,437
283,130,211
283,151,19
283,153,267
283,154,583
283,160,21
283,164,867
283,165,740
283,166,36
283,173,24
283,176,12
283,183,478
283,184,11
283,190,86
283,194,12
283,195,143
283,196,13
283,200,139
283,203,26
283,215,18
283,226,227
283,236,12
283,239,12
283,242,23
283,243,218
283,245,46
283,250,12
283,252,96
283,253,26
283,254,835
283,263,85
283,266,46
283,270,75
283,273,78
283,275,31
283,279,746
283,280,127
283,281,155
283,282,19
283,285,37
283,308,938
283,325,92
283,331,20
284,14,74
284,56,81
284,155,11
284,201,19
284,226,14
284,233,77
284,236,43
284,273,516
284,301,17
285,108,399
285,151,2997
285,153,65
285,188,17
285,194,11
285,261,328
285,263,11
285,266,24
285,268,1103
285,279,87
287,2,36
287,20,50
287,21,86
287,35,97
287,40,33
287,48,272
287,60,14
287,65,61
287,84,155
287,87,34
287,89,99
287,122,98
287,164,129
287,183,40
287,195,31
287,226,27
287,245,74
287,252,388
287,254,124
287,273,30
287,279,240
287,281,41
287,283,449
287,308,51
287,331,29
288,293,157
290,14,50
290,49,60
290,56,52
290,155,13
290,201,29
290,226,16
290,227,16
290,233,30
290,236,105
290,252,43
290,273,312
290,284,17
291,139,12
293,44,25411
293,279,167
297,263,17
300,2,28
300,20,30
300,40,15
300,65,75
300,151,13
300,153,12
300,196,38
300,226,24
301,56,56
301,233,48
301,236,55
301,273,117
302,28,34
302,256,46
305,69,12
307,44,14
307,60,5359
307,127,19
307,169,18
307,173,70
307,178,33
307,191,645
307,279,119
308,2,5223
308,20,8497
308,24,97
308,30,276
308,40,13224
308,44,12
308,49,82
308,56,280
308,58,1954
308,59,12
308,60,1239
308,63,57
308,65,7974
308,71,97
308,86,187
308,87,882
308,88,19
308,89,712
308,94,64
308,97,857
308,102,9221
308,108,61
308,118,32
308,130,8691
308,151,711
308,153,1661
308,155,12
308,158,39
308,160,157
308,169,11
308,173,28
308,183,4167
308,184,179
308,185,261
308,188,330
308,190,341
308,191,36
308,194,129
308,195,366
308,196,297
308,200,550
308,204,14
308,215,21
308,218,11
308,226,1419
308,227,51
308,228,50
308,233,153
308,236,159
308,239,581
308,243,14373
308,248,114
308,252,77
308,253,45
308,257,11
308,258,77
308,261,14
308,263,425
308,266,503
308,268,23
308,273,462
308,275,206
308,279,1326
308,280,337
308,281,159
308,284,15
308,285,1913
308,300,168
308,307,11
308,325,459
308,331,15
308,333,3485
311,2,11
311,28,48
311,40,14
311,88,98
311,227,48
311,236,11
311,263,11
311,273,32
314,14,13
314,56,28
314,147,252
314,158,63
314,201,15
314,227,15
314,236,20
314,273,772
321,84,16
321,183,22
321,252,108
321,283,66
325,24,27
325,30,824
325,60,149
325,86,11
325,153,67
325,160,513
325,165,43
325,173,14
325,184,859
325,188,175
325,190,1189
325,194,11
325,195,13
325,200,497
325,226,165
325,266,62
325,273,48
325,275,2989
325,279,67
325,280,713
325,285,15
328,146,36
331,63,14
331,129,330
331,188,38
333,60,969
333,172,26
333,263,9948
333,266,282
333,280,757
342,263,19
344,146,176
344,183,57
344,328,25
347,20,18
