品类,日期,销量
77,2023/5/24,1688
77,2023/5/25,1334
77,2023/5/26,912
77,2023/5/27,692
77,2023/5/28,748
77,2023/5/29,1348
77,2023/5/30,1094
77,2023/5/31,992
77,2023/6/1,1036
77,2023/6/2,1146
77,2023/6/3,892
77,2023/6/4,650
77,2023/6/5,1594
77,2023/6/6,1616
77,2023/6/7,1258
77,2023/6/8,1178
77,2023/6/9,972
77,2023/6/10,772
77,2023/6/11,724
77,2023/6/12,1460
77,2023/6/13,1648
77,2023/6/14,1066
77,2023/6/15,1500
77,2023/6/16,1786
77,2023/6/17,1262
77,2023/6/18,1102
77,2023/6/19,1186
77,2023/6/20,1220
77,2023/6/21,1066
77,2023/6/22,468
77,2023/6/23,710
77,2023/6/24,564
77,2023/6/25,1472
77,2023/6/26,1370
77,2023/6/27,1104
77,2023/6/28,1498
77,2023/6/29,1082
77,2023/6/30,944
78,2022/7/1,180
78,2022/7/2,146
78,2022/7/3,110
78,2022/7/4,136
78,2022/7/5,162
78,2022/7/6,138
78,2022/7/7,200
78,2022/7/8,170
78,2022/7/9,136
78,2022/7/10,146
78,2022/7/11,164
78,2022/7/12,144
78,2022/7/13,200
78,2022/7/14,204
78,2022/7/15,208
78,2022/7/16,176
78,2022/7/17,158
78,2022/7/18,156
78,2022/7/19,180
78,2022/7/20,214
78,2022/7/21,208
78,2022/7/22,170
78,2022/7/23,148
78,2022/7/24,150
78,2022/7/25,190
78,2022/7/26,176
78,2022/7/27,162
78,2022/7/28,182
78,2022/7/29,208
78,2022/7/30,154
78,2022/7/31,226
78,2022/8/1,158
78,2022/8/2,168
78,2022/8/3,188
78,2022/8/4,144
78,2022/8/5,148
78,2022/8/6,134
78,2022/8/7,102
78,2022/8/8,132
78,2022/8/9,158
78,2022/8/10,148
78,2022/8/11,318
78,2022/8/12,180
78,2022/8/13,146
78,2022/8/14,118
78,2022/8/15,134
78,2022/8/16,146
78,2022/8/17,204
78,2022/8/18,184
78,2022/8/19,134
78,2022/8/20,128
78,2022/8/21,136
78,2022/8/22,124
78,2022/8/23,124
78,2022/8/24,146
78,2022/8/25,142
78,2022/8/26,140
78,2022/8/27,114
78,2022/8/28,102
78,2022/8/29,116
78,2022/8/30,148
78,2022/8/31,138
78,2022/9/1,134
78,2022/9/2,154
78,2022/9/3,144
78,2022/9/4,118
78,2022/9/5,144
78,2022/9/6,186
78,2022/9/7,222
78,2022/9/8,190
78,2022/9/9,250
78,2022/9/10,176
78,2022/9/11,162
78,2022/9/12,126
78,2022/9/13,146
78,2022/9/14,150
78,2022/9/15,168
78,2022/9/16,180
78,2022/9/17,164
78,2022/9/18,126
78,2022/9/19,176
78,2022/9/20,194
78,2022/9/21,146
78,2022/9/22,162
78,2022/9/23,148
78,2022/9/24,152
78,2022/9/25,140
78,2022/9/26,146
78,2022/9/27,214
78,2022/9/28,238
78,2022/9/29,298
78,2022/9/30,292
78,2023/4/1,126
78,2023/4/2,126
78,2023/4/3,162
78,2023/4/4,126
78,2023/4/5,124
78,2023/4/6,172
78,2023/4/7,164
78,2023/4/8,152
78,2023/4/9,140
78,2023/4/10,112
78,2023/4/11,140
78,2023/4/12,154
78,2023/4/13,168
78,2023/4/14,170
78,2023/4/15,154
78,2023/4/16,148
78,2023/4/17,154
78,2023/4/18,176
78,2023/4/19,180
78,2023/4/20,148
78,2023/4/21,134
78,2023/4/22,140
78,2023/4/23,146
78,2023/4/24,228
78,2023/4/25,330
78,2023/4/26,336
78,2023/4/27,328
78,2023/4/28,276
78,2023/4/29,280
78,2023/4/30,292
78,2023/5/1,212
78,2023/5/2,144
78,2023/5/3,122
78,2023/5/4,152
78,2023/5/5,138
78,2023/5/6,148
78,2023/5/7,138
78,2023/5/8,146
78,2023/5/9,152
78,2023/5/10,166
78,2023/5/11,208
78,2023/5/12,202
78,2023/5/13,142
78,2023/5/14,124
78,2023/5/15,158
78,2023/5/16,164
78,2023/5/17,196
78,2023/5/18,192
78,2023/5/19,182
78,2023/5/20,148
78,2023/5/21,100
78,2023/5/22,114
78,2023/5/23,178
78,2023/5/24,164
78,2023/5/25,184
78,2023/5/26,204
78,2023/5/27,166
78,2023/5/28,138
78,2023/5/29,286
78,2023/5/30,230
78,2023/5/31,162
78,2023/6/1,256
78,2023/6/2,198
78,2023/6/3,204
78,2023/6/4,164
78,2023/6/5,178
78,2023/6/6,152
78,2023/6/7,200
78,2023/6/8,210
78,2023/6/9,206
78,2023/6/10,192
78,2023/6/11,184
78,2023/6/12,128
78,2023/6/13,182
78,2023/6/14,236
78,2023/6/15,252
78,2023/6/16,262
78,2023/6/17,240
78,2023/6/18,284
78,2023/6/19,272
78,2023/6/20,228
78,2023/6/21,208
78,2023/6/22,176
78,2023/6/23,160
78,2023/6/24,120
78,2023/6/25,126
78,2023/6/26,152
78,2023/6/27,134
78,2023/6/28,136
78,2023/6/29,176
78,2023/6/30,162
79,2022/7/1,40
79,2022/7/2,44
79,2022/7/3,36
79,2022/7/4,34
79,2022/7/5,60
79,2022/7/6,186
79,2022/7/7,54
79,2022/7/8,62
79,2022/7/9,78
79,2022/7/10,80
79,2022/7/11,104
79,2022/7/12,114
79,2022/7/13,104
79,2022/7/14,136
79,2022/7/15,176
79,2022/7/16,148
79,2022/7/17,156
79,2022/7/18,154
79,2022/7/19,152
79,2022/7/20,178
79,2022/7/21,192
79,2022/7/22,198
79,2022/7/23,252
79,2022/7/24,188
79,2022/7/25,344
79,2022/7/26,1670
79,2022/7/27,728
79,2022/7/28,646
79,2022/7/29,464
79,2022/7/30,1500
79,2022/7/31,574
79,2022/8/1,714
79,2022/8/2,1082
79,2022/8/3,1248
79,2022/8/4,1054
79,2022/8/5,1246
79,2022/8/6,864
79,2022/8/7,1376
79,2022/8/8,2288
79,2022/8/9,3634
79,2022/8/10,2312
79,2022/8/11,2890
79,2022/8/12,3286
79,2022/8/13,2606
79,2022/8/14,2426
79,2022/8/15,3510
79,2022/8/16,3984
79,2022/8/17,5254
79,2022/8/18,5478
79,2022/8/19,7090
79,2022/8/20,3980
79,2022/8/21,5036
79,2022/8/22,10246
79,2022/8/23,10058
79,2022/8/24,9312
79,2022/8/25,11816
79,2022/8/26,10744
79,2022/8/27,10208
79,2022/8/28,11654
79,2022/8/29,17340
79,2022/8/30,21558
79,2022/8/31,23252
79,2022/9/1,27260
79,2022/9/2,27852
79,2022/9/3,22728
79,2022/9/4,27016
79,2022/9/5,40716
79,2022/9/6,41164
79,2022/9/7,39574
79,2022/9/8,29882
79,2022/9/9,10926
79,2022/9/10,1980
79,2022/9/11,704
79,2022/9/12,346
79,2022/9/13,1126
79,2022/9/14,528
79,2022/9/15,856
79,2022/9/16,492
79,2022/9/17,408
79,2022/9/18,256
79,2022/9/19,232
79,2022/9/20,186
79,2022/9/21,212
79,2022/9/22,212
79,2022/9/23,184
79,2022/9/24,166
79,2022/9/25,88
79,2022/9/26,84
79,2022/9/27,98
79,2022/9/28,108
79,2022/9/29,58
79,2022/9/30,58
79,2023/4/1,220
79,2023/4/2,338
79,2023/4/3,164
79,2023/4/4,372
79,2023/4/5,220
79,2023/4/6,182
79,2023/4/7,166
79,2023/4/8,198
79,2023/4/9,162
79,2023/4/10,152
79,2023/4/11,192
79,2023/4/12,350
79,2023/4/13,162
79,2023/4/14,194
79,2023/4/15,204
79,2023/4/16,188
79,2023/4/17,246
79,2023/4/18,268
79,2023/4/19,176
79,2023/4/20,226
79,2023/4/21,224
79,2023/4/22,238
79,2023/4/23,340
79,2023/4/24,276
79,2023/4/25,244
79,2023/4/26,290
79,2023/4/27,458
79,2023/4/28,342
79,2023/4/29,210
79,2023/4/30,208
79,2023/5/1,178
79,2023/5/2,196
79,2023/5/3,234
79,2023/5/4,350
79,2023/5/5,618
79,2023/5/6,650
79,2023/5/7,326
79,2023/5/8,276
79,2023/5/9,538
79,2023/5/10,700
79,2023/5/11,404
79,2023/5/12,386
79,2023/5/13,672
79,2023/5/14,472
79,2023/5/15,430
79,2023/5/16,826
79,2023/5/17,840
79,2023/5/18,572
79,2023/5/19,618
79,2023/5/20,482
79,2023/5/21,466
79,2023/5/22,706
79,2023/5/23,892
79,2023/5/24,728
79,2023/5/25,1140
79,2023/5/26,1520
79,2023/5/27,654
79,2023/5/28,634
79,2023/5/29,1356
79,2023/5/30,1168
79,2023/5/31,1188
79,2023/6/1,2056
79,2023/6/2,1524
79,2023/6/3,1272
79,2023/6/4,1278
79,2023/6/5,1932
79,2023/6/6,2520
79,2023/6/7,3184
79,2023/6/8,3866
79,2023/6/9,3466
79,2023/6/10,2318
79,2023/6/11,3248
79,2023/6/12,6322
79,2023/6/13,8486
79,2023/6/14,10674
79,2023/6/15,12194
79,2023/6/16,11658
79,2023/6/17,10928
79,2023/6/18,16428
79,2023/6/19,24968
79,2023/6/20,18258
79,2023/6/21,10790
79,2023/6/22,3234
79,2023/6/23,1280
79,2023/6/24,782
79,2023/6/25,2640
79,2023/6/26,4140
79,2023/6/27,1724
79,2023/6/28,1840
79,2023/6/29,3396
79,2023/6/30,856
80,2022/7/1,366
80,2022/7/2,258
80,2022/7/3,322
80,2022/7/4,548
80,2022/7/5,396
80,2022/7/6,356
80,2022/7/7,464
80,2022/7/8,542
80,2022/7/9,390
80,2022/7/10,336
80,2022/7/11,1116
80,2022/7/12,338
80,2022/7/13,620
80,2022/7/14,570
80,2022/7/15,576
80,2022/7/16,306
80,2022/7/17,328
80,2022/7/18,374
80,2022/7/19,352
80,2022/7/20,430
80,2022/7/21,316
80,2022/7/22,346
80,2022/7/23,262
80,2022/7/24,236
80,2022/7/25,274
80,2022/7/26,268
80,2022/7/27,382
80,2022/7/28,418
80,2022/7/29,460
80,2022/7/30,226
80,2022/7/31,232
80,2022/8/1,282
80,2022/8/2,318
80,2022/8/3,434
80,2022/8/4,486
80,2022/8/5,268
80,2022/8/6,212
80,2022/8/7,218
80,2022/8/8,290
80,2022/8/9,326
80,2022/8/10,324
80,2022/8/11,260
80,2022/8/12,418
80,2022/8/13,310
80,2022/8/14,282
80,2022/8/15,316
80,2022/8/16,418
80,2022/8/17,284
80,2022/8/18,284
80,2022/8/19,336
80,2022/8/20,266
80,2022/8/21,386
80,2022/8/22,450
80,2022/8/23,352
80,2022/8/24,550
80,2022/8/25,386
80,2022/8/26,448
80,2022/8/27,308
80,2022/8/28,294
80,2022/8/29,336
80,2022/8/30,376
80,2022/8/31,678
80,2022/9/1,502
80,2022/9/2,472
80,2022/9/3,320
80,2022/9/4,336
80,2022/9/5,398
80,2022/9/6,384
80,2022/9/7,380
80,2022/9/8,388
80,2022/9/9,390
80,2022/9/10,266
80,2022/9/11,268
80,2022/9/12,306
80,2022/9/13,518
80,2022/9/14,562
80,2022/9/15,726
80,2022/9/16,526
80,2022/9/17,318
80,2022/9/18,370
80,2022/9/19,720
80,2022/9/20,396
80,2022/9/21,316
80,2022/9/22,346
80,2022/9/23,824
80,2022/9/24,346
80,2022/9/25,268
80,2022/9/26,318
80,2022/9/27,526
80,2022/9/28,402
80,2022/9/29,316
80,2022/9/30,300
80,2023/4/1,256
80,2023/4/2,224
80,2023/4/3,256
80,2023/4/4,330
80,2023/4/5,488
80,2023/4/6,484
80,2023/4/7,448
80,2023/4/8,262
80,2023/4/9,266
80,2023/4/10,298
80,2023/4/11,368
80,2023/4/12,312
80,2023/4/13,286
80,2023/4/14,312
80,2023/4/15,256
80,2023/4/16,252
80,2023/4/17,344
80,2023/4/18,372
80,2023/4/19,382
80,2023/4/20,438
80,2023/4/21,902
80,2023/4/22,402
80,2023/4/23,658
80,2023/4/24,876
80,2023/4/25,824
80,2023/4/26,1108
80,2023/4/27,704
80,2023/4/28,254
80,2023/4/29,236
80,2023/4/30,176
80,2023/5/1,190
80,2023/5/2,196
80,2023/5/3,256
80,2023/5/4,384
80,2023/5/5,336
80,2023/5/6,422
80,2023/5/7,216
80,2023/5/8,292
80,2023/5/9,476
80,2023/5/10,336
80,2023/5/11,470
80,2023/5/12,334
80,2023/5/13,244
80,2023/5/14,222
80,2023/5/15,352
80,2023/5/16,260
80,2023/5/17,246
80,2023/5/18,298
80,2023/5/19,268
80,2023/5/20,202
80,2023/5/21,202
80,2023/5/22,278
80,2023/5/23,278
80,2023/5/24,414
80,2023/5/25,292
80,2023/5/26,282
80,2023/5/27,264
80,2023/5/28,214
80,2023/5/29,304
80,2023/5/30,312
80,2023/5/31,308
80,2023/6/1,434
80,2023/6/2,420
80,2023/6/3,344
80,2023/6/4,282
80,2023/6/5,364
80,2023/6/6,324
80,2023/6/7,332
80,2023/6/8,310
80,2023/6/9,264
80,2023/6/10,242
80,2023/6/11,266
80,2023/6/12,332
80,2023/6/13,310
80,2023/6/14,334
80,2023/6/15,298
80,2023/6/16,584
80,2023/6/17,500
80,2023/6/18,584
80,2023/6/19,420
80,2023/6/20,392
80,2023/6/21,262
80,2023/6/22,180
80,2023/6/23,164
80,2023/6/24,228
80,2023/6/25,366
80,2023/6/26,278
80,2023/6/27,292
80,2023/6/28,290
80,2023/6/29,274
80,2023/6/30,292
81,2022/7/1,18
81,2022/7/2,36
81,2022/7/3,24
81,2022/7/4,28
81,2022/7/5,20
81,2022/7/6,16
81,2022/7/7,32
81,2022/7/8,30
81,2022/7/9,32
81,2022/7/10,38
81,2022/7/11,24
81,2022/7/12,28
81,2022/7/13,26
81,2022/7/14,24
81,2022/7/15,30
81,2022/7/16,46
81,2022/7/17,30
81,2022/7/18,28
81,2022/7/19,28
81,2022/7/20,30
81,2022/7/21,32
81,2022/7/22,34
81,2022/7/23,32
81,2022/7/24,24
81,2022/7/25,26
81,2022/7/26,42
81,2022/7/27,34
81,2022/7/28,34
81,2022/7/29,34
81,2022/7/30,32
81,2022/7/31,54
81,2022/8/1,24
81,2022/8/2,34
81,2022/8/3,30
81,2022/8/4,26
81,2022/8/5,36
81,2022/8/6,32
81,2022/8/7,40
81,2022/8/8,30
81,2022/8/9,24
81,2022/8/10,50
81,2022/8/11,54
81,2022/8/12,28
81,2022/8/13,44
81,2022/8/14,30
81,2022/8/15,30
81,2022/8/16,28
81,2022/8/17,28
81,2022/8/18,48
81,2022/8/19,46
81,2022/8/20,46
81,2022/8/21,38
81,2022/8/22,52
81,2022/8/23,44
81,2022/8/24,44
81,2022/8/25,34
81,2022/8/26,34
81,2022/8/27,52
81,2022/8/28,44
81,2022/8/29,40
81,2022/8/30,52
81,2022/8/31,36
81,2022/9/1,32
81,2022/9/2,38
81,2022/9/3,60
81,2022/9/4,36
81,2022/9/5,20
81,2022/9/6,30
81,2022/9/7,40
81,2022/9/8,26
81,2022/9/9,60
81,2022/9/10,38
81,2022/9/11,34
81,2022/9/12,44
81,2022/9/13,30
81,2022/9/14,34
81,2022/9/15,30
81,2022/9/16,32
81,2022/9/17,30
81,2022/9/18,28
81,2022/9/19,24
81,2022/9/20,32
81,2022/9/21,26
81,2022/9/22,32
81,2022/9/23,26
81,2022/9/24,24
81,2022/9/25,22
81,2022/9/26,46
81,2022/9/27,34
81,2022/9/28,68
81,2022/9/29,26
81,2022/9/30,30
81,2023/4/1,32
81,2023/4/2,26
81,2023/4/3,14
81,2023/4/4,18
81,2023/4/5,14
81,2023/4/6,38
81,2023/4/7,26
81,2023/4/8,30
81,2023/4/9,16
81,2023/4/10,12
81,2023/4/11,8
81,2023/4/12,16
81,2023/4/13,14
81,2023/4/14,30
81,2023/4/15,22
81,2023/4/16,14
81,2023/4/17,24
81,2023/4/18,32
81,2023/4/19,14
81,2023/4/20,14
81,2023/4/21,12
81,2023/4/22,30
81,2023/4/23,14
81,2023/4/24,22
81,2023/4/25,38
81,2023/4/26,20
81,2023/4/27,50
81,2023/4/28,26
81,2023/4/29,16
81,2023/4/30,22
81,2023/5/1,30
81,2023/5/2,22
81,2023/5/3,18
81,2023/5/4,16
81,2023/5/5,20
81,2023/5/6,18
81,2023/5/7,24
81,2023/5/8,16
81,2023/5/9,24
81,2023/5/10,24
81,2023/5/11,20
81,2023/5/12,18
81,2023/5/13,26
81,2023/5/14,16
81,2023/5/15,14
81,2023/5/16,16
81,2023/5/17,12
81,2023/5/18,18
81,2023/5/19,16
81,2023/5/20,18
81,2023/5/21,12
81,2023/5/22,8
81,2023/5/23,14
81,2023/5/24,8
81,2023/5/25,10
81,2023/5/26,16
81,2023/5/27,14
81,2023/5/28,8
81,2023/5/29,10
81,2023/5/30,6
81,2023/5/31,12
81,2023/6/1,154
81,2023/6/2,32
81,2023/6/3,28
81,2023/6/4,24
81,2023/6/5,28
81,2023/6/6,10
81,2023/6/7,16
81,2023/6/8,52
81,2023/6/9,28
81,2023/6/10,26
81,2023/6/11,14
81,2023/6/12,14
81,2023/6/13,14
81,2023/6/14,14
81,2023/6/15,74
81,2023/6/16,68
81,2023/6/17,52
81,2023/6/18,104
81,2023/6/19,56
81,2023/6/20,34
81,2023/6/21,22
81,2023/6/22,40
81,2023/6/23,32
81,2023/6/24,36
81,2023/6/25,22
81,2023/6/26,14
81,2023/6/27,18
81,2023/6/28,14
81,2023/6/29,14
81,2023/6/30,14
82,2022/7/15,0
82,2022/7/25,0
82,2022/7/27,0
82,2022/8/8,0
82,2022/8/12,0
82,2022/8/15,0
82,2022/8/17,0
82,2022/8/18,0
82,2022/8/19,0
82,2022/8/22,0
82,2022/8/23,0
82,2022/8/24,0
82,2022/8/27,0
82,2022/8/28,0
82,2022/8/31,0
82,2022/9/3,0
82,2022/9/4,0
82,2022/9/6,0
82,2022/9/9,0
82,2022/9/10,0
82,2022/9/12,0
82,2022/9/14,0
82,2022/9/15,0
82,2022/9/17,0
82,2022/9/21,0
82,2022/9/25,0
82,2022/9/26,0
82,2022/9/29,0
82,2023/4/1,0
82,2023/4/3,0
82,2023/4/6,0
82,2023/4/9,0
82,2023/4/15,0
82,2023/4/17,0
82,2023/4/18,0
82,2023/4/19,0
82,2023/4/20,0
82,2023/4/22,0
82,2023/4/25,0
82,2023/5/2,0
82,2023/5/3,0
82,2023/5/6,0
82,2023/5/7,0
82,2023/5/10,0
82,2023/5/11,0
82,2023/5/13,0
82,2023/5/15,0
82,2023/5/16,0
82,2023/5/18,0
82,2023/5/19,0
82,2023/5/24,0
82,2023/5/25,0
82,2023/5/27,0
82,2023/5/29,0
82,2023/5/31,0
82,2023/6/1,0
82,2023/6/6,0
82,2023/6/7,0
82,2023/6/8,0
82,2023/6/9,0
82,2023/6/10,0
82,2023/6/11,0
82,2023/6/12,0
82,2023/6/13,0
82,2023/6/14,0
82,2023/6/15,0
82,2023/6/17,0
82,2023/6/18,0
82,2023/6/20,0
82,2023/6/21,0
82,2023/6/23,0
82,2023/6/24,0
82,2023/6/27,0
82,2023/6/28,0
82,2023/6/29,0
82,2023/6/30,0
83,2022/7/1,0
83,2022/7/3,0
83,2022/7/4,4
83,2022/7/5,0
83,2022/7/6,2
83,2022/7/7,0
83,2022/7/8,0
83,2022/7/10,0
83,2022/7/11,0
83,2022/7/12,0
83,2022/7/13,4
83,2022/7/14,0
83,2022/7/15,0
83,2022/7/16,0
83,2022/7/17,0
83,2022/7/18,2
83,2022/7/19,0
83,2022/7/20,0
83,2022/7/21,0
83,2022/7/23,0
83,2022/7/24,0
83,2022/7/25,0
83,2022/7/26,0
83,2022/7/27,2
83,2022/7/28,0
83,2022/7/29,0
83,2022/7/30,0
83,2022/7/31,0
83,2022/8/1,0
83,2022/8/5,0
83,2022/8/6,0
83,2022/8/7,0
83,2022/8/8,0
83,2022/8/9,0
83,2022/8/12,0
83,2022/8/14,0
83,2022/8/15,0
83,2022/8/16,0
83,2022/8/17,0
83,2022/8/18,0
83,2022/8/19,0
83,2022/8/20,0
83,2022/8/21,0
83,2022/8/22,0
83,2022/8/23,0
83,2022/8/24,0
83,2022/8/25,0
83,2022/8/26,2
83,2022/8/27,0
83,2022/8/28,0
83,2022/8/29,0
83,2022/8/30,0
83,2022/8/31,0
83,2022/9/2,0
83,2022/9/3,0
83,2022/9/4,2
83,2022/9/5,0
83,2022/9/6,0
83,2022/9/7,6
83,2022/9/8,2
83,2022/9/9,0
83,2022/9/10,2
83,2022/9/11,2
83,2022/9/12,0
83,2022/9/13,2
83,2022/9/14,2
83,2022/9/15,0
83,2022/9/16,0
83,2022/9/17,2
83,2022/9/19,0
83,2022/9/20,0
83,2022/9/21,2
83,2022/9/22,2
83,2022/9/23,0
83,2022/9/24,0
83,2022/9/27,0
83,2022/9/28,0
83,2023/4/1,2
83,2023/4/2,0
83,2023/4/3,0
83,2023/4/4,0
83,2023/4/5,2
83,2023/4/6,2
83,2023/4/7,2
83,2023/4/8,2
83,2023/4/9,0
83,2023/4/10,0
83,2023/4/11,2
83,2023/4/12,2
83,2023/4/13,2
83,2023/4/14,2
83,2023/4/15,2
83,2023/4/16,2
83,2023/4/17,2
83,2023/4/18,2
83,2023/4/19,0
83,2023/4/20,0
83,2023/4/21,0
83,2023/4/24,0
83,2023/4/25,0
83,2023/4/27,0
83,2023/4/28,0
83,2023/4/29,0
83,2023/4/30,2
83,2023/5/1,2
83,2023/5/2,2
83,2023/5/3,0
83,2023/5/4,0
83,2023/5/5,0
83,2023/5/6,0
83,2023/5/7,0
83,2023/5/8,2
83,2023/5/9,0
83,2023/5/10,0
83,2023/5/11,0
83,2023/5/12,0
83,2023/5/13,0
83,2023/5/14,0
83,2023/5/17,2
83,2023/5/18,0
83,2023/5/20,0
83,2023/5/21,0
83,2023/5/22,0
83,2023/5/23,0
83,2023/5/24,2
83,2023/5/25,0
83,2023/5/26,0
83,2023/5/27,0
83,2023/5/28,2
83,2023/5/30,0
83,2023/5/31,2
83,2023/6/1,0
83,2023/6/2,0
83,2023/6/3,0
83,2023/6/5,0
83,2023/6/6,0
83,2023/6/7,0
83,2023/6/8,2
83,2023/6/9,2
83,2023/6/10,0
83,2023/6/11,2
83,2023/6/12,2
83,2023/6/13,0
83,2023/6/14,0
83,2023/6/15,0
83,2023/6/17,0
83,2023/6/18,2
83,2023/6/19,0
83,2023/6/20,0
83,2023/6/21,0
83,2023/6/22,0
83,2023/6/23,0
83,2023/6/24,0
83,2023/6/25,0
83,2023/6/26,0
83,2023/6/28,0
83,2023/6/29,0
83,2023/6/30,0
84,2022/7/1,29874
84,2022/7/2,27478
84,2022/7/3,28444
84,2022/7/4,26722
84,2022/7/5,31384
84,2022/7/6,24614
84,2022/7/7,27098
84,2022/7/8,29318
84,2022/7/9,27688
84,2022/7/10,24120
84,2022/7/11,25722
84,2022/7/12,26548
84,2022/7/13,27380
84,2022/7/14,27942
84,2022/7/15,31274
84,2022/7/16,32968
84,2022/7/17,30046
84,2022/7/18,29618
84,2022/7/19,31286
84,2022/7/20,30532
84,2022/7/21,30548
84,2022/7/22,31506
84,2022/7/23,31166
84,2022/7/24,30800
84,2022/7/25,32730
84,2022/7/26,31434
84,2022/7/27,32054
84,2022/7/28,33808
84,2022/7/29,30950
84,2022/7/30,32386
84,2022/7/31,30506
84,2022/8/1,32592
84,2022/8/2,33670
84,2022/8/3,33034
84,2022/8/4,28244
84,2022/8/5,30104
84,2022/8/6,30300
84,2022/8/7,27234
84,2022/8/8,29100
84,2022/8/9,30150
84,2022/8/10,30314
84,2022/8/11,34456
84,2022/8/12,31326
84,2022/8/13,33608
84,2022/8/14,31248
84,2022/8/15,31590
84,2022/8/16,31052
84,2022/8/17,31532
84,2022/8/18,39492
84,2022/8/19,32564
84,2022/8/20,31566
84,2022/8/21,30602
84,2022/8/22,32704
84,2022/8/23,33128
84,2022/8/24,33708
84,2022/8/25,35460
84,2022/8/26,36032
84,2022/8/27,34136
84,2022/8/28,33894
84,2022/8/29,34664
84,2022/8/30,36656
84,2022/8/31,45984
84,2022/9/1,44508
84,2022/9/2,44812
84,2022/9/3,42140
84,2022/9/4,43386
84,2022/9/5,41164
84,2022/9/6,48078
84,2022/9/7,59824
84,2022/9/8,51806
84,2022/9/9,50506
84,2022/9/10,44940
84,2022/9/11,42230
84,2022/9/12,32704
84,2022/9/13,35312
84,2022/9/14,36678
84,2022/9/15,38130
84,2022/9/16,42434
84,2022/9/17,38816
84,2022/9/18,32554
84,2022/9/19,37124
84,2022/9/20,42616
84,2022/9/21,35006
84,2022/9/22,38740
84,2022/9/23,47512
84,2022/9/24,36470
84,2022/9/25,32932
84,2022/9/26,33068
84,2022/9/27,41288
84,2022/9/28,40940
84,2022/9/29,38714
84,2022/9/30,36080
84,2023/4/1,28888
84,2023/4/2,25696
84,2023/4/3,26732
84,2023/4/4,29182
84,2023/4/5,26126
84,2023/4/6,27168
84,2023/4/7,33652
84,2023/4/8,29462
84,2023/4/9,27950
84,2023/4/10,29996
84,2023/4/11,33978
84,2023/4/12,28962
84,2023/4/13,28844
84,2023/4/14,29554
84,2023/4/15,27678
84,2023/4/16,23266
84,2023/4/17,26788
84,2023/4/18,30656
84,2023/4/19,26318
84,2023/4/20,27406
84,2023/4/21,27456
84,2023/4/22,26810
84,2023/4/23,30078
84,2023/4/24,34988
84,2023/4/25,29674
84,2023/4/26,29636
84,2023/4/27,31272
84,2023/4/28,34028
84,2023/4/29,29200
84,2023/4/30,24782
84,2023/5/1,22966
84,2023/5/2,23922
84,2023/5/3,24758
84,2023/5/4,29172
84,2023/5/5,28460
84,2023/5/6,27010
84,2023/5/7,26736
84,2023/5/8,27176
84,2023/5/9,30442
84,2023/5/10,26622
84,2023/5/11,28100
84,2023/5/12,26686
84,2023/5/13,28194
84,2023/5/14,25966
84,2023/5/15,28868
84,2023/5/16,30380
84,2023/5/17,34834
84,2023/5/18,26168
84,2023/5/19,25998
84,2023/5/20,26536
84,2023/5/21,24258
84,2023/5/22,25654
84,2023/5/23,35416
84,2023/5/24,58232
84,2023/5/25,34126
84,2023/5/26,30522
84,2023/5/27,32418
84,2023/5/28,28772
84,2023/5/29,28176
84,2023/5/30,29480
84,2023/5/31,45362
84,2023/6/1,115928
84,2023/6/2,64800
84,2023/6/3,45530
84,2023/6/4,37062
84,2023/6/5,32142
84,2023/6/6,61890
84,2023/6/7,39214
84,2023/6/8,34682
84,2023/6/9,32492
84,2023/6/10,32872
84,2023/6/11,31438
84,2023/6/12,44052
84,2023/6/13,39420
84,2023/6/14,52368
84,2023/6/15,53506
84,2023/6/16,66806
84,2023/6/17,76018
84,2023/6/18,141914
84,2023/6/19,98706
84,2023/6/20,40392
84,2023/6/21,29922
84,2023/6/22,27268
84,2023/6/23,27542
84,2023/6/24,25588
84,2023/6/25,26806
84,2023/6/26,25546
84,2023/6/27,26878
84,2023/6/28,26098
84,2023/6/29,24822
84,2023/6/30,26186
85,2022/7/1,170
85,2022/7/2,164
85,2022/7/3,230
85,2022/7/4,234
85,2022/7/5,334
85,2022/7/6,410
85,2022/7/7,196
85,2022/7/8,154
85,2022/7/9,162
85,2022/7/10,210
85,2022/7/11,128
85,2022/7/12,120
85,2022/7/13,144
85,2022/7/14,170
85,2022/7/15,168
85,2022/7/16,120
85,2022/7/17,126
85,2022/7/18,152
85,2022/7/19,198
85,2022/7/20,196
85,2022/7/21,192
85,2022/7/22,276
85,2022/7/23,130
85,2022/7/24,138
85,2022/7/25,140
85,2022/7/26,132
85,2022/7/27,124
85,2022/7/28,122
85,2022/7/29,156
85,2022/7/30,92
85,2022/7/31,98
85,2022/8/1,114
85,2022/8/2,98
85,2022/8/3,92
85,2022/8/4,88
85,2022/8/5,94
85,2022/8/6,100
85,2022/8/7,96
85,2022/8/8,124
85,2022/8/9,120
85,2022/8/10,112
85,2022/8/11,124
85,2022/8/12,98
85,2022/8/13,90
85,2022/8/14,94
85,2022/8/15,98
85,2022/8/16,148
85,2022/8/17,124
85,2022/8/18,114
85,2022/8/19,184
85,2022/8/20,68
85,2022/8/21,112
85,2022/8/22,192
85,2022/8/23,110
85,2022/8/24,128
85,2022/8/25,176
85,2022/8/26,142
85,2022/8/27,110
85,2022/8/28,106
